batch_name,status,files_processed,success_rate,successful_files,failed_files,viable_anchors,template_title,duration_seconds,error_count,timestamp
1301 SNFCC/SUBMISSION 27-2-2013,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:17:38.252648
1301 SNFCC/SUBMISSION 28-2-2013,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:17:38.253456
1301 SNFCC/SUBMIT 21-10-2013,failed,9,77.77777777777779,7,2,4,JVIT-COS-10-1-0023-00,5.69,2,2025-10-17T11:17:38.253663
1601 KAPLANKAYA/20160205-KAPLANKAYA_SUBMISSION-01,failed,15,0.0,0,0,0,A0-0110-00,1.76,1,2025-10-17T11:17:43.942112
1601 KAPLANKAYA/20160331-KAPLANKAYA_SUBMISSION-02,failed,41,0.0,0,0,0,A0-0402-00,9.38,1,2025-10-17T11:17:45.701833
1601 KAPLANKAYA/20160425-KAPLANKAYA_SUBMISSION-03,failed,8,0.0,0,0,0,A2-1001-00,1.39,1,2025-10-17T11:17:55.087490
1601 KAPLANKAYA/20160505-KAPLANKAYA_RESUBMISSION-03,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:17:56.482529
1601 KAPLANKAYA/20160513-KAPLANKAYA_SUBMISSION-04,failed,14,0.0,0,0,0,A2-1001-02,1.8,1,2025-10-17T11:17:56.482991
1601 KAPLANKAYA/20160524-KAPLANKAYA_SUBMISSION-05,failed,27,0.0,0,0,0,A0-0720-00,3.37,1,2025-10-17T11:17:58.279511
1601 KAPLANKAYA/20160601-KAPLANKAYA_SUBMISSION-06,failed,27,0.0,0,0,0,A0-0802-01,2.25,1,2025-10-17T11:18:01.649754
1601 KAPLANKAYA/PDF,failed,29,0.0,0,0,0,222_A4_8001_00_sunset-bar-gazebo_2016-02-05,22.31,1,2025-10-17T11:18:03.899288
1601 KAPLANKAYA/PDF_SUBMISSION 31_03,failed,22,0.0,0,0,0,A0-0000-00,6.6,1,2025-10-17T11:18:26.204991
1602 TAHLIA WALK/08-03 Rev Structural Design,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:18:32.802312
1602 TAHLIA WALK/1-Cables,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:18:32.802618
1602 TAHLIA WALK/1602 SUBMISSIONS,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:18:32.802838
1602 TAHLIA WALK/160415_Plans Sections,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:18:32.802996
1602 TAHLIA WALK/160421_Elevation_V1,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:18:32.803207
1602 TAHLIA WALK/160426_Elevations,failed,5,0.0,0,0,0,1602_Tahlia_Walk_3d_View_1,0.0,1,2025-10-17T11:18:32.803362
1602 TAHLIA WALK/160519_PLANS-SEC-ELV,failed,6,0.0,0,0,0,1602_TW_A101-00,0.41,1,2025-10-17T11:18:32.803754
1602 TAHLIA WALK/160616_PLANS-SEC-ELV-3D,failed,3,0.0,0,0,0,1602_Tahlia_Walk_3D-01,0.16,1,2025-10-17T11:18:33.213482
