status	files_processed	success_rate	successful_files	failed_files	viable_anchors
skipped	2	0	0	0	0
skipped	1	0	0	0	0
failed	9	77.7777777777778	7	2	4
failed	15	0	0	0	0
failed	41	0	0	0	0
failed	8	0	0	0	0
skipped	2	0	0	0	0
failed	14	0	0	0	0
failed	27	0	0	0	0
failed	27	0	0	0	0
failed	29	0	0	0	0
failed	22	0	0	0	0
skipped	1	0	0	0	0
skipped	2	0	0	0	0
skipped	1	0	0	0	0
skipped	2	0	0	0	0
skipped	1	0	0	0	0
failed	5	0	0	0	0
failed	6	0	0	0	0
failed	3	0	0	0	0
failed	17	0	0	0	0
failed	4	0	0	0	0
failed	5	0	0	0	0
skipped	1	0	0	0	0
failed	18	0	0	0	0
failed	4	0	0	0	0
skipped	1	0	0	0	0
failed	55	0	0	0	0
failed	22	0	0	0	0
failed	10	0	0	0	0
failed	5	0	0	0	0
failed	6	0	0	0	0
skipped	1	0	0	0	0
failed	8	0	0	0	0
success	5	100	5	0	1
failed	19	78.9473684210526	15	4	1
failed	11	0	0	0	0
failed	33	0	0	0	0
failed	9	0	0	0	0
failed	32	0	0	0	0
failed	33	0	0	0	0
skipped	1	0	0	0	0
failed	8	0	0	0	0
failed	3	0	0	0	0
failed	75	0	0	0	0
failed	33	0	0	0	0
failed	7	0	0	0	0
partial	32	90.625	29	3	1
failed	11	0	0	0	0
skipped	1	0	0	0	0
failed	38	0	0	0	0
skipped	2	0	0	0	0
failed	14	0	0	0	0
skipped	2	0	0	0	0
skipped	2	0	0	0	0
failed	19	0	0	0	0
skipped	1	0	0	0	0
skipped	2	0	0	0	0
failed	201	0	0	0	0
failed	39	0	0	0	0
failed	111	0	0	0	0
failed	19	0	0	0	0
skipped	2	0	0	0	0
failed	11	0	0	0	0
skipped	2	0	0	0	0
skipped	1	0	0	0	0
skipped	1	0	0	0	0
skipped	1	0	0	0	0
failed	3	0	0	0	0
skipped	2	0	0	0	0
failed	4	0	0	0	0
failed	11	0	0	0	0
failed	3	0	0	0	0
skipped	2	0	0	0	0
skipped	2	0	0	0	0
failed	13	0	0	0	0
skipped	2	0	0	0	0
failed	27	0	0	0	0
failed	4	0	0	0	0
failed	19	0	0	0	0
skipped	1	0	0	0	0
failed	26	0	0	0	0
failed	16	0	0	0	0
skipped	1	0	0	0	0
skipped	1	0	0	0	0
skipped	1	0	0	0	0
skipped	2	0	0	0	0
skipped	2	0	0	0	0
failed	13	0	0	0	0
skipped	1	0	0	0	0
failed	16	0	0	0	0
failed	15	0	0	0	0
failed	21	0	0	0	0
failed	17	0	0	0	0
skipped	1	0	0	0	0
skipped	2	0	0	0	0
failed	6	0	0	0	0
failed	5	0	0	0	0
skipped	1	0	0	0	0
failed	67	0	0	0	0
